task,region,arm,seed,native,score,val_score,N,edges,n_out,epochs,wall_s
mqar,CX,random,1,0,0.20025,0.20375,3499,466370,327,40,176.9
path,AL,connectome,4,0,0.90506,0.90371,3499,258882,685,30,176.9
path,MB,random,1,0,0.89271,0.89681,3499,218164,96,30,158.7
path,OL,connectome,4,0,0.72552,0.72846,3499,60742,22,30,119.9
flow,AL,random,1,0,0.23985,0.27287,3499,258882,685,22,28.3
flow,CX,connectome,4,0,0.28798,0.29434,3499,466370,327,30,58.8
flow,OL,random,1,1,0.23946,0.27369,3499,60742,22,30,27.9
mqar,MB,degree,0,1,0.17425,0.17271,3499,218164,96,40,97.8
mqar,CX,random,3,0,0.19238,0.19062,3499,466370,327,35,154.8
path,AL,degree,0,0,0.89896,0.90119,3499,258882,685,30,178.2
path,MB,random,3,0,0.89696,0.89358,3499,218164,96,30,160.0
path,OL,degree,0,0,0.87808,0.88249,3499,60742,22,30,121.1
flow,AL,random,3,0,0.26463,0.26514,3499,258882,685,26,33.8
flow,CX,degree,0,0,0.30022,0.28081,3499,466370,327,30,60.2
flow,OL,random,3,1,0.25813,0.24876,3499,60742,22,30,27.8
mqar,MB,degree,1,1,0.18487,0.19042,3499,218164,96,34,83.4
mqar,CX,random,4,0,0.18825,0.19479,3499,466370,327,40,176.7
path,AL,degree,1,0,0.89653,0.90017,3499,258882,685,30,177.1
path,MB,random,4,0,0.89751,0.89661,3499,218164,96,30,159.4
path,OL,degree,1,0,0.87321,0.87636,3499,60742,22,30,121.9
flow,AL,random,4,0,0.2385,0.2452,3499,258882,685,21,26.8
flow,CX,degree,1,0,0.26427,0.29659,3499,466370,327,30,60.0
flow,OL,random,4,1,0.24581,0.25418,3499,60742,22,30,28.2
