bodyId_pre,bodyId_post,weight
204962646,1167235720,1
204962646,1167593263,2
204962646,1167925880,2
204962646,1195658585,2
204962646,1196573821,3
204962646,1197246979,1
204962646,1197260134,1
204962646,1198049989,3
204962646,1198749960,1
204962646,1198952331,1
204962646,1199082254,2
204962646,1200027441,2
204962646,1220800405,1
204962646,1225605932,2
204962646,1229654578,3
204962646,1229780309,1
204962646,1259022991,1
204962646,1261129711,4
204962646,1261130127,1
204962646,1281622703,3
204962646,1291025031,2
204962646,1291370565,1
204962646,1310831585,1
204962646,1323221783,4
204962646,1342194347,2
204962646,1354243345,2
204962646,1374390473,1
204962646,1374731590,1
204962646,1536339065,1
204962646,1600062551,4
204962646,5812979942,1
204962646,5812986472,17
204962646,5812986772,2
204962646,5812986798,1
204962646,5813010807,1
204962646,5813012769,11
204962646,5813014777,7
204962646,5813016287,1
204962646,5813016320,5
204962646,5813016553,1
204962646,5813016568,1
204962646,5813016853,2
204962646,5813020698,9
204962646,5813020699,1
204962646,5813039999,1
204962646,5813040000,3
204962646,5813041405,3
204962646,5813041497,22
204962646,5813041504,2
204962646,5813041510,12
204962646,5813041596,1
204962646,5813041610,9
204962646,5813048530,1
204962646,5813048755,4
204962646,5813050758,4
204962646,5813053685,63
204962646,5813058338,1
204962646,5813058368,4
204962646,5813058518,18
204962646,5813069331,1
204962646,5813071028,1
204962646,5813071231,35
204962646,5813071475,9
204962646,5813079341,1
204962646,5813081818,4
204962646,5813082948,3
204962646,5813103626,5
204962646,5813108066,1
204962646,5813128313,1
204962646,5813128431,1
204962646,5813129271,3
204962646,5901220093,8
205299889,203598499,1
205299889,204962646,8
205299889,295136778,1
205299889,295477903,2
205299889,295820069,1
205299889,296838079,2
205299889,296855409,2
205299889,297183251,1
205299889,300455904,1
205299889,327203386,1
205299889,388012215,9
205299889,391155165,1
205299889,420842989,4
205299889,511806866,2
205299889,540112974,6
205299889,664943511,1
205299889,697355826,1
205299889,732401014,1
205299889,851200326,4
205299889,884916654,5
205299889,885253510,2
205299889,885257860,1
205299889,885262169,2
205299889,885262311,2
205299889,885598938,5
205299889,885599043,7
205299889,885939922,4
205299889,886276864,1
205299889,886281163,3
205299889,911220126,1
205299889,915610815,1
205299889,915619188,2
205299889,915960391,3
205299889,916288408,1
205299889,916288456,4
205299889,916292026,19
205299889,916628962,6
205299889,916629686,1
205299889,916646157,1
205299889,916651038,1
205299889,917674256,5
205299889,946978006,2
205299889,947349354,1
205299889,947663945,1
205299889,947664053,2
205299889,948346463,10
205299889,948346519,3
205299889,977995787,2
205299889,1009375310,6
205299889,1042154310,1
205299889,1103810192,1
205299889,1104155212,1
205299889,1104832963,7
205299889,1104837598,1
205299889,1135294306,1
205299889,1135863959,1
205299889,1136545839,4
205299889,1166549374,2
205299889,1198266283,1
205299889,1259022991,1
205299889,5813020698,1
205299889,5813020735,3
205299889,5813041497,1
205299889,5813041510,8
205299889,5813041596,1
205299889,5813058338,1
205299889,5813058368,10
205299889,5813071028,21
205299889,5813071475,1
205299889,5813081818,7
205299889,5813129271,1
234292899,202916528,1
234292899,203253072,1
234292899,204613133,1
234292899,236330337,2
