bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1350806865,,,0,10,0,10,0,181543,Assign,,0.5assign,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}}",,"['CX', 'FB', 'FBl4']",[]
1350824948,,,0,10,0,10,0,97510,Assign,,0.5assign,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}}",,"['CX', 'FB', 'FBl4']",[]
1350837738,hDeltaA_05_C5,hDeltaA,410,3646,3148,3646,273,789914658,Traced,False,Roughly traced,PDM02,301.0,"[22143, 16925, 10256]","{'CX': {'pre': 410, 'post': 3641, 'downstream': 3148, 'upstream': 3641, 'mito': 222, 'dark': 214, 'medium': 8}, 'FB': {'pre': 410, 'post': 3641, 'downstream': 3148, 'upstream': 3641, 'mito': 222, 'dark': 214, 'medium': 8}, 'FBl5': {'pre': 114, 'post': 737, 'downstream': 896, 'upstream': 737, 'mito': 50, 'dark': 48, 'medium': 2}, 'FBl4': {'pre': 294, 'post': 2727, 'downstream': 2244, 'upstream': 2727, 'mito': 165, 'dark': 159, 'medium': 6}, 'FB-column3': {'post': 215, 'upstream': 215, 'mito': 5, 'dark': 5}, 'FBl3': {'pre': 1, 'post': 81, 'downstream': 5, 'upstream': 81, 'mito': 2, 'dark': 2}, 'INP': {'post': 4, 'upstream': 4}, 'ICL(L)': {'post': 4, 'upstream': 4}, 'FBl2': {'pre': 1, 'post': 96, 'downstream': 3, 'upstream': 96, 'mito': 5, 'dark': 5}}",FB4D5FB4,"['CX', 'FB', 'FB-column3', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'ICL(L)', 'INP']","['CX', 'FB', 'FBl2', 'FBl3', 'FBl4', 'FBl5']"
1350842158,,,6,18,42,18,2,3691840,Orphan,,Orphan,,,,"{'CX': {'pre': 6, 'post': 16, 'downstream': 42, 'upstream': 16, 'mito': 2, 'dark': 1, 'light': 1}, 'FB': {'pre': 6, 'post': 16, 'downstream': 42, 'upstream': 16, 'mito': 2, 'dark': 1, 'light': 1}, 'FBl5': {'pre': 6, 'post': 8, 'downstream': 42, 'upstream': 8, 'mito': 2, 'dark': 1, 'light': 1}, 'FBl4': {'post': 8, 'upstream': 8}, 'INP': {'post': 2, 'upstream': 2}, 'ICL(L)': {'post': 2, 'upstream': 2}}",,"['CX', 'FB', 'FBl4', 'FBl5', 'ICL(L)', 'INP']","['CX', 'FB', 'FBl5']"
1351065769,FC2A(FQ7)_C1_L,FC2A,239,2580,1331,2580,147,452802700,Traced,False,Roughly traced,PDM01,286.0,"[25917, 20114, 9008]","{'INP': {'pre': 41, 'post': 48, 'downstream': 207, 'upstream': 48, 'mito': 21, 'dark': 21}, 'CRE(R)': {'pre': 41, 'post': 48, 'downstream': 207, 'upstream': 48, 'mito': 21, 'dark': 21}, 'CRE(-ROB,-RUB)(R)': {'pre': 41, 'post': 48, 'downstream': 207, 'upstream': 48, 'mito': 21, 'dark': 21}, 'CX': {'pre': 198, 'post': 2529, 'downstream': 1124, 'upstream': 2529, 'mito': 102, 'dark': 99, 'light': 1, 'medium': 2}, 'FB': {'pre': 198, 'post': 2529, 'downstream': 1124, 'upstream': 2529, 'mito': 102, 'dark': 99, 'light': 1, 'medium': 2}, 'FBl5': {'pre': 100, 'post': 965, 'downstream': 587, 'upstream': 965, 'mito': 46, 'dark': 45, 'light': 1}, 'FBl6': {'post': 17, 'upstream': 17}, 'FBl4': {'pre': 42, 'post': 634, 'downstream': 251, 'upstream': 634, 'mito': 22, 'dark': 22}, 'FBl3': {'pre': 12, 'post': 193, 'downstream': 67, 'upstream': 193, 'mito': 6, 'dark': 6}, 'FBl2': {'pre': 39, 'post': 473, 'downstream': 196, 'upstream': 473, 'mito': 17, 'dark': 15, 'medium': 2}, 'mALT(R)': {'post': 1, 'upstream': 1}, 'FBl1': {'pre': 5, 'post': 247, 'downstream': 23, 'upstream': 247, 'mito': 11, 'dark': 11}}",FB1-5CRE,"['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'INP', 'mALT(R)']","['CRE(-ROB,-RUB)(R)', 'CRE(R)', 'CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'INP']"
1351074477,,,0,10,0,10,0,99454,Orphan,,Orphan,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl5': {'post': 10}, 'FB-column3': {'post': 4}}",,"['CX', 'FB', 'FB-column3', 'FBl5']",[]
1351079045,,,0,13,0,13,0,715882,Orphan,,Orphan,,,,"{'CX': {'post': 13}, 'FB': {'post': 13}, 'FBl5': {'post': 13}, 'FB-column3': {'post': 8}}",,"['CX', 'FB', 'FB-column3', 'FBl5']",[]
1351079132,,,0,12,0,12,0,346886,Orphan,,Orphan,,,,"{'CX': {'post': 12}, 'FB': {'post': 12}, 'FBl4': {'post': 12}, 'FB-column3': {'post': 12}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1351092396,,,2,0,13,0,0,12240,Assign,,0.5assign,,,,"{'CX': {'pre': 2, 'downstream': 13}, 'FB': {'pre': 2, 'downstream': 13}, 'FBl4': {'pre': 2, 'downstream': 13}, 'FB-column3': {'pre': 2, 'downstream': 13}}",,[],"['CX', 'FB', 'FB-column3', 'FBl4']"
1351100472,,,0,16,0,16,0,234346,Orphan,,Orphan,,,,"{'CX': {'post': 16}, 'FB': {'post': 16}, 'FBl4': {'post': 16}, 'FB-column3': {'post': 16}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
