mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
gain,AL,connectome,2,4.0,0.0,0.15951,4.3655,0.6673850574712644,0.8906477077553178,0.9846129254788302,118.8
gain,AL,degree,2,8.0,0.0,0.11711,7.9083,0.7277298850574713,0.9195195864711324,0.9891075638428448,103.5
gain,AL,random,2,16.0,0.0,0.06296,15.7769,0.7119252873563219,0.9127485467036596,0.9880393666164436,117.3
gain,AL,random,0,0.25,0.0,0.06269,15.6447,0.5251436781609196,0.835261428193949,0.9754238164863376,98.3
gain,AL,connectome,0,1.0,0.0,0.15951,4.3655,0.6896551724137931,0.922661514070551,0.9892900003277928,126.6
gain,AL,degree,0,2.0,0.0,0.11893,7.7893,0.7083333333333334,0.9040494120755714,0.9868984947429024,98.0
gain,AL,random,0,4.0,0.0,0.06269,15.6447,0.6666666666666666,0.8973485599154446,0.9858697538862318,91.4
gain,AL,connectome,0,16.0,0.0,0.15951,4.3655,0.6896551724137931,0.9003335975690315,0.9863222268457816,104.6
gain,AL,degree,0,32.0,0.0,0.11893,7.7893,0.5991379310344828,0.8624116461884,0.9800809345169684,97.1
gain,AL,random,1,0.25,0.0,0.06352,15.4404,0.4892241379310345,0.8270907649623465,0.972252813237704,75.4
gain,AL,connectome,1,1.0,0.0,0.15951,4.3655,0.6875,0.9010602457391994,0.986509162868738,80.1
gain,AL,degree,1,2.0,0.0,0.11744,7.767,0.6760057471264368,0.9029264103580392,0.9865985049713788,88.6
gain,AL,random,1,4.0,0.0,0.06352,15.4404,0.6451149425287356,0.8997390672479852,0.9858524061819264,67.7
gain,AL,connectome,1,16.0,0.0,0.15951,4.3655,0.7234195402298851,0.9217903620029064,0.9894747003796536,180.1
gain,AL,degree,1,32.0,0.0,0.11744,7.767,0.7104885057471264,0.9065224930638128,0.9868301847850116,172.3
gain,AL,connectome,5,0.5,0.0,0.15951,4.3655,0.6293103448275862,0.8892480842911877,0.9841451738900704,67.7
gain,AL,degree,5,1.0,0.0,0.11997,7.6216,0.6795977011494253,0.9038594926674594,0.9865085512180536,108.2
gain,AL,random,5,2.0,0.0,0.06387,15.4676,0.6005747126436781,0.8790750099088387,0.9824212603110916,67.5
gain,AL,connectome,5,8.0,0.0,0.15951,4.3655,0.6846264367816092,0.9014689853349188,0.9865248864892266,110.3
