run-start task=odor_valence_associative_reversal output_dir=/home/ec2-user/pathintegrationBPU/outputs/mb_assoc_dense_only_lr1e4_3seed_100ep matrix=/home/ec2-user/pathintegrationBPU/outputs/hemibrain_mushroom_body_plume/adjacency_unsigned.npz device=cuda
data-ready N=11690 edges=1277773 input_dim=67 timesteps=21 models=hemibrain_dense,random_dense
model-start model=hemibrain_dense seed=0 runtime=dense N=11690 recurrent_params=136656100 trainable_params=137462711 init_nonzero_edges=1277773 timesteps=21
loss model=hemibrain_dense seed=0 epoch=97/100 train_loss=0.0708604 val_loss=0.0663531 val_acc=0.9773 val_reversal_acc=0.9663 best_val_loss=0.0622524 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=98/100 train_loss=0.0701269 val_loss=0.0681911 val_acc=0.9766 val_reversal_acc=0.9646 best_val_loss=0.0622524 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=99/100 train_loss=0.0735826 val_loss=0.0692832 val_acc=0.9751 val_reversal_acc=0.9624 best_val_loss=0.0622524 patience_wait=3
loss model=hemibrain_dense seed=0 epoch=100/100 train_loss=0.0696826 val_loss=0.0653005 val_acc=0.9778 val_reversal_acc=0.9665 best_val_loss=0.0622524 patience_wait=4
model-done model=hemibrain_dense seed=0 best_val_loss=0.0622524 test_acc=0.9775 test_reversal_acc=0.9665
model-start model=hemibrain_dense seed=1 runtime=dense N=11690 recurrent_params=136656100 trainable_params=137462711 init_nonzero_edges=1277773 timesteps=21
loss model=hemibrain_dense seed=1 epoch=1/100 train_loss=0.623254 val_loss=0.605898 val_acc=0.6589 val_reversal_acc=0.6620 best_val_loss=0.605898 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=2/100 train_loss=0.606809 val_loss=0.603382 val_acc=0.6585 val_reversal_acc=0.6600 best_val_loss=0.603382 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=3/100 train_loss=0.60435 val_loss=0.601769 val_acc=0.6593 val_reversal_acc=0.6609 best_val_loss=0.601769 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=4/100 train_loss=0.604925 val_loss=0.602517 val_acc=0.6579 val_reversal_acc=0.6607 best_val_loss=0.601769 patience_wait=1
loss model=hemibrain_dense seed=1 epoch=5/100 train_loss=0.60379 val_loss=0.600947 val_acc=0.6606 val_reversal_acc=0.6596 best_val_loss=0.600947 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=6/100 train_loss=0.601629 val_loss=0.601802 val_acc=0.6559 val_reversal_acc=0.6589 best_val_loss=0.600947 patience_wait=1
loss model=hemibrain_dense seed=1 epoch=7/100 train_loss=0.60184 val_loss=0.600746 val_acc=0.6574 val_reversal_acc=0.6589 best_val_loss=0.600746 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=8/100 train_loss=0.600748 val_loss=0.600231 val_acc=0.6619 val_reversal_acc=0.6668 best_val_loss=0.600231 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=9/100 train_loss=0.599198 val_loss=0.600019 val_acc=0.6589 val_reversal_acc=0.6611 best_val_loss=0.600019 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=10/100 train_loss=0.598913 val_loss=0.588233 val_acc=0.6809 val_reversal_acc=0.6816 best_val_loss=0.588233 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=11/100 train_loss=0.57348 val_loss=0.554891 val_acc=0.7102 val_reversal_acc=0.7079 best_val_loss=0.554891 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=12/100 train_loss=0.529254 val_loss=0.501877 val_acc=0.7534 val_reversal_acc=0.7414 best_val_loss=0.501877 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=13/100 train_loss=0.474141 val_loss=0.45232 val_acc=0.7950 val_reversal_acc=0.7772 best_val_loss=0.45232 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=14/100 train_loss=0.423777 val_loss=0.402562 val_acc=0.8240 val_reversal_acc=0.8021 best_val_loss=0.402562 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=15/100 train_loss=0.387053 val_loss=0.368751 val_acc=0.8403 val_reversal_acc=0.8141 best_val_loss=0.368751 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=16/100 train_loss=0.356858 val_loss=0.358934 val_acc=0.8477 val_reversal_acc=0.8194 best_val_loss=0.358934 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=17/100 train_loss=0.331768 val_loss=0.323071 val_acc=0.8651 val_reversal_acc=0.8371 best_val_loss=0.323071 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=18/100 train_loss=0.315003 val_loss=0.299174 val_acc=0.8757 val_reversal_acc=0.8579 best_val_loss=0.299174 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=19/100 train_loss=0.300144 val_loss=0.29738 val_acc=0.8776 val_reversal_acc=0.8555 best_val_loss=0.29738 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=20/100 train_loss=0.283146 val_loss=0.280566 val_acc=0.8861 val_reversal_acc=0.8621 best_val_loss=0.280566 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=21/100 train_loss=0.267513 val_loss=0.25409 val_acc=0.8999 val_reversal_acc=0.8789 best_val_loss=0.25409 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=22/100 train_loss=0.248381 val_loss=0.253605 val_acc=0.8970 val_reversal_acc=0.8707 best_val_loss=0.253605 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=23/100 train_loss=0.237108 val_loss=0.238596 val_acc=0.9057 val_reversal_acc=0.8816 best_val_loss=0.238596 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=24/100 train_loss=0.227239 val_loss=0.232489 val_acc=0.9063 val_reversal_acc=0.8794 best_val_loss=0.232489 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=25/100 train_loss=0.217684 val_loss=0.223758 val_acc=0.9133 val_reversal_acc=0.8885 best_val_loss=0.223758 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=26/100 train_loss=0.208424 val_loss=0.221241 val_acc=0.9144 val_reversal_acc=0.8887 best_val_loss=0.221241 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=27/100 train_loss=0.201805 val_loss=0.202147 val_acc=0.9233 val_reversal_acc=0.8978 best_val_loss=0.202147 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=28/100 train_loss=0.189908 val_loss=0.207241 val_acc=0.9202 val_reversal_acc=0.8932 best_val_loss=0.202147 patience_wait=1
loss model=hemibrain_dense seed=1 epoch=29/100 train_loss=0.186982 val_loss=0.189737 val_acc=0.9297 val_reversal_acc=0.9091 best_val_loss=0.189737 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=30/100 train_loss=0.182755 val_loss=0.195501 val_acc=0.9234 val_reversal_acc=0.8993 best_val_loss=0.189737 patience_wait=1
loss model=hemibrain_dense seed=1 epoch=31/100 train_loss=0.178165 val_loss=0.193866 val_acc=0.9245 val_reversal_acc=0.9013 best_val_loss=0.189737 patience_wait=2
loss model=hemibrain_dense seed=1 epoch=32/100 train_loss=0.175729 val_loss=0.183049 val_acc=0.9292 val_reversal_acc=0.9039 best_val_loss=0.183049 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=33/100 train_loss=0.170485 val_loss=0.179132 val_acc=0.9317 val_reversal_acc=0.9099 best_val_loss=0.179132 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=34/100 train_loss=0.166866 val_loss=0.171407 val_acc=0.9336 val_reversal_acc=0.9142 best_val_loss=0.171407 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=35/100 train_loss=0.162541 val_loss=0.167342 val_acc=0.9353 val_reversal_acc=0.9158 best_val_loss=0.167342 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=36/100 train_loss=0.162452 val_loss=0.164732 val_acc=0.9381 val_reversal_acc=0.9180 best_val_loss=0.164732 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=37/100 train_loss=0.158755 val_loss=0.164727 val_acc=0.9352 val_reversal_acc=0.9141 best_val_loss=0.164727 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=38/100 train_loss=0.154372 val_loss=0.167862 val_acc=0.9357 val_reversal_acc=0.9163 best_val_loss=0.164727 patience_wait=1
loss model=hemibrain_dense seed=1 epoch=39/100 train_loss=0.151765 val_loss=0.158251 val_acc=0.9405 val_reversal_acc=0.9168 best_val_loss=0.158251 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=40/100 train_loss=0.146232 val_loss=0.156764 val_acc=0.9395 val_reversal_acc=0.9185 best_val_loss=0.156764 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=41/100 train_loss=0.148557 val_loss=0.149879 val_acc=0.9430 val_reversal_acc=0.9247 best_val_loss=0.149879 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=42/100 train_loss=0.144805 val_loss=0.141491 val_acc=0.9469 val_reversal_acc=0.9284 best_val_loss=0.141491 patience_wait=0
loss model=hemibrain_dense seed=1 epoch=43/100 train_loss=0.139237 val_loss=0.141321 val_acc=0.9456 val_reversal_acc=0.9286 best_val_loss=0.141321 patience_wait=0
