Unnamed: 0,update,total_updates,T,FPS,window,mean,median,min,max,model
100,104,781,13440,77,50,-73.18971778,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
101,105,781,13568,77,50,-74.44395744000002,-70.4487565,-162.784359,-28.044956,rnn_param_matched
102,106,781,13696,78,50,-73.63851986000002,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
103,107,781,13824,78,50,-73.63851986000002,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
104,108,781,13952,78,50,-74.73845066,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
105,109,781,14080,78,50,-74.73845066,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
106,110,781,14208,78,50,-74.66938814,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
107,111,781,14336,79,50,-74.66938814,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
108,112,781,14464,79,50,-74.41838918,-68.323162,-162.784359,-28.044956,rnn_param_matched
109,113,781,14592,79,50,-73.82957412,-68.323162,-162.784359,-28.044956,rnn_param_matched
110,114,781,14720,79,50,-73.82957412,-68.323162,-162.784359,-28.044956,rnn_param_matched
111,115,781,14848,79,50,-73.82957412,-68.323162,-162.784359,-28.044956,rnn_param_matched
112,116,781,14976,80,50,-69.5012775,-68.323162,-162.784359,104.490476,rnn_param_matched
113,117,781,15104,80,50,-67.92423303999999,-66.8704095,-162.784359,104.490476,rnn_param_matched
114,118,781,15232,80,50,-67.92423303999999,-66.8704095,-162.784359,104.490476,rnn_param_matched
115,119,781,15360,80,50,-67.92423303999999,-66.8704095,-162.784359,104.490476,rnn_param_matched
116,120,781,15488,80,50,-67.88129228,-66.8704095,-162.784359,104.490476,rnn_param_matched
117,121,781,15616,76,50,-67.29529496,-66.41346899999999,-162.784359,104.490476,rnn_param_matched
118,122,781,15744,76,50,-68.4472736,-66.8704095,-162.784359,104.490476,rnn_param_matched
119,123,781,15872,76,50,-68.4472736,-66.8704095,-162.784359,104.490476,rnn_param_matched
120,124,781,16000,76,50,-68.9449671,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
121,125,781,16128,77,50,-68.9449671,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
122,126,781,16256,77,50,-68.9449671,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
