root_id,super_class,cell_class,cell_sub_class,cell_type,side
720575940604221356,optic,LO>LOP,,T5c,left
720575940604229152,visual_projection,,,LC15,right
720575940604238513,optic,ME,,Dm18,right
720575940604247468,optic,ME>LO.LOP,,Tm27,right
720575940604248032,optic,ME>LO,,T2,right
720575940604255712,optic,ME,columnar,Mi1,right
720575940604265440,optic,ME,,Dm3v,right
720575940604268972,visual_projection,,,LC22,left
720575940604281120,visual_projection,,,LC11,left
720575940604288172,optic,ME>LO,,Tm9,left
720575940604304742,visual_projection,,,MeTu3b,right
720575940604307936,optic,ME>LA,,C3,right
720575940604323808,optic,LO>LOP,,T5c,right
720575940604324017,visual_projection,,,LC6,right
720575940604324320,optic,LO>LOP,,T5c,right
720575940604324576,optic,ME>LOP,,T4b,left
720575940604336049,optic,ME>LO,,T2a,right
720575940604337632,optic,ME>LOP,,T4b,left
720575940604337696,visual_projection,,,LC16,left
720575940604341280,optic,ME>LO,,Tm3,right
720575940604345632,visual_projection,,,MeTu2a,right
720575940604351078,visual_centrifugal,,,cLP02,left
720575940604381886,visual_projection,,,LC12,right
720575940604383776,optic,ME>LOP,,T4a,right
720575940604386594,optic,ME>LOP,,T4a,left
720575940604389054,visual_projection,,,LC10a,left
720575940604391904,optic,ME>LO,,T3,right
720575940604401342,visual_projection,,,LC11,left
720575940604407008,optic,LOP>LO,,Tlp1,right
720575940604407072,optic,ME>LO,,Tm3,right
720575940604411616,optic,LO>LOP,,T5b,right
720575940604412896,optic,LO>LOP,,T5c,right
720575940604413664,optic,LO>LOP,,T5b,right
720575940604415148,optic,ME>LO,,T2a,right
720575940604420832,optic,ME,,Dm10,right
720575940604425696,optic,LOP>ME.LO,,Y11,right
720575940604426412,visual_projection,,,LC24,left
720575940604427232,optic,LO>LOP,,T5b,right
720575940604427552,optic,ME,columnar,Mi1,left
720575940604432864,optic,LO>LOP,,T5a,right
720575940604435061,optic,ME>LOP,,T4b,right
720575940604435814,optic,ME,,Dm3p,right
720575940604436720,optic,ME>LOP,,T4d,right
720575940604437094,optic,ME>LO.LOP,,TmY3,right
720575940604437792,optic,ME>LO,,Tm1,left
720575940604438048,optic,ME>LO,,T2,left
720575940604447520,optic,ME,,Mi15,right
720575940604452384,optic,ME,,Dm15,left
720575940604453408,optic,ME>LO,,Tm3,left
720575940604455340,optic,LOP>LO,,Tlp1,right
720575940604457200,optic,LO>LOP,,T5c,right
720575940604467488,optic,ME>LO,,Tm4,left
720575940604470188,optic,ME,columnar,Mi1,left
720575940604474982,optic,ME>LOP,,T4a,right
720575940604476774,optic,ME>LA,,C3,right
720575940604478065,optic,ME>LOP,,T4b,left
720575940604480870,optic,ME,,Sm13,right
