,update,total_updates,T,FPS,window,mean,median,min,max
202,204,390,26240,0,50,-79.39449404000001,-71.249044,-150.391657,-40.335234
203,205,390,26368,0,50,-79.39449404000001,-71.249044,-150.391657,-40.335234
204,206,390,26496,0,50,-79.08290410000001,-71.249044,-150.391657,-40.335234
205,207,390,26624,0,50,-80.44680602,-71.249044,-150.391657,-40.335234
206,208,390,26752,0,50,-81.32807816,-71.73374849999999,-150.391657,-40.335234
207,209,390,26880,0,50,-79.87650423999999,-71.249044,-150.391657,-40.335234
208,210,390,27008,0,50,-79.87650423999999,-71.249044,-150.391657,-40.335234
209,211,390,27136,0,50,-80.56603052,-71.73374849999999,-150.391657,-40.335234
210,212,390,27264,0,50,-80.56603052,-71.73374849999999,-150.391657,-40.335234
211,213,390,27392,0,50,-82.01200972000001,-71.73374849999999,-155.096037,-40.335234
212,214,390,27520,0,50,-82.01200972000001,-71.73374849999999,-155.096037,-40.335234
213,215,390,27648,0,50,-82.5376684,-74.689437,-155.096037,-40.335234
214,216,390,27776,0,50,-80.83524382,-71.73374849999999,-155.096037,-38.049173
215,217,390,27904,0,50,-79.61575986,-71.249044,-155.096037,-36.767536
216,218,390,28032,0,50,-79.61575986,-71.249044,-155.096037,-36.767536
217,219,390,28160,0,50,-80.32270847999999,-71.73374849999999,-155.096037,-36.767536
218,220,390,28288,0,50,-80.50575916000001,-71.73374849999999,-155.096037,-36.767536
219,221,390,28416,0,50,-80.52650779999999,-71.73374849999999,-155.096037,-36.767536
220,222,390,28544,0,50,-80.56748694,-71.87132,-155.096037,-36.767536
221,223,390,28672,0,50,-80.88280766000001,-71.87132,-155.096037,-36.767536
222,224,390,28800,0,50,-80.88280766000001,-71.87132,-155.096037,-36.767536
223,225,390,28928,0,50,-81.44500813999998,-73.503058,-155.096037,-36.767536
224,226,390,29056,0,50,-79.6457442,-71.87132,-155.096037,-36.767536
225,227,390,29184,0,50,-79.6457442,-71.87132,-155.096037,-36.767536
226,228,390,29312,0,50,-79.87200328,-71.87132,-155.096037,-36.767536
227,229,390,29440,0,50,-79.97582849999999,-71.87132,-155.096037,-36.767536
228,230,390,29568,0,50,-79.97582849999999,-71.87132,-155.096037,-36.767536
229,231,390,29696,0,50,-80.41963636,-71.87132,-155.096037,-36.767536
230,232,390,29824,0,50,-79.8523721,-71.57056850000001,-155.096037,-36.767536
231,233,390,29952,0,50,-79.8523721,-71.57056850000001,-155.096037,-36.767536
232,234,390,30080,0,50,-81.40297822,-73.339878,-155.096037,-36.767536
233,235,390,30208,0,50,-81.40297822,-73.339878,-155.096037,-36.767536
234,236,390,30336,0,50,-81.93067869999999,-73.339878,-155.096037,-36.767536
