io,arm,variant,seed,fraction,n_train,params,epochs_ran,best_val_loss,wall_s,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,low_latency,low_worst_interferent
generic,random,standard,1,5,255,300871,15,0.2486,9.8,0.91599,0.81575,0.87931,0.60345,0.85535,0.38147,0.375,0.74138,0.86716,0.90443,0.07665,0.80408,638,464,0.94465,0.72478,0.7421,0.60345,0.93739,0.1717,0.15158,0.67277,0.82839,0.9456,0.00652,0.72669,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0417, ""5-10s"": 0.04, ""10-30s"": 0.0833, ""30-60s"": 0.1875, "">60s"": 0.2551}","{""methane"": 0.7529, ""CO"": 0.7313, ""worst"": 0.7313}"
generic,spectrum,standard,1,10,510,12284990,8,0.7073,4.3,0.9507,0.87545,0.4806,0.99425,0.99554,0.58621,0.57974,0.73743,0.64826,0.89203,0.0766,0.62069,638,464,0.97528,0.83255,0.35776,0.99425,0.998,0.53089,0.52011,0.67601,0.52671,0.94233,0.04222,0.42848,1566,1392,"{""pre"": 0.0868, ""0-5s"": 0.125, ""5-10s"": 0.36, ""10-30s"": 0.3229, ""30-60s"": 0.5278, "">60s"": 0.7487}","{""methane"": 0.2888, ""CO"": 0.4267, ""worst"": 0.2888}"
generic,dense,standard,1,25,1276,12284990,30,0.5707,32.1,0.923,0.80171,0.5625,0.85057,0.90941,0.5,0.48707,0.70654,0.69507,0.85799,0.38495,0.64107,638,464,0.95967,0.76644,0.37284,0.85057,0.95229,0.3046,0.26006,0.61171,0.53588,0.94672,0.38471,0.42593,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1354, ""30-60s"": 0.2778, "">60s"": 0.4684}","{""methane"": 0.3463, ""CO"": 0.3994, ""worst"": 0.3463}"
bio,adapter_only,standard,1,50,2552,502,30,0.2886,0.9,0.94844,0.87761,0.67457,0.86207,0.92878,0.59914,0.46983,0.76832,0.78152,0.91833,0.25447,0.72571,638,464,0.96676,0.80809,0.56897,0.86207,0.97059,0.42385,0.23132,0.71552,0.71739,0.9439,0.00968,0.60153,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.04, ""10-30s"": 0.25, ""30-60s"": 0.4236, "">60s"": 0.6364}","{""methane"": 0.625, ""CO"": 0.5129, ""worst"": 0.5129}"
bio,connectome,standard,2,50,2552,263508,30,0.1706,114.0,0.97713,0.94066,0.94397,0.74138,0.90683,0.76293,0.74138,0.84267,0.92503,0.93375,0.4532,0.88871,638,464,0.985,0.89316,0.83405,0.74138,0.96269,0.65661,0.63649,0.78772,0.89376,0.95795,0.00304,0.82375,1566,1392,"{""pre"": 0.1383, ""0-5s"": 0.5833, ""5-10s"": 0.4, ""10-30s"": 0.5729, ""30-60s"": 0.7361, "">60s"": 0.8662}","{""methane"": 0.8836, ""CO"": 0.7845, ""worst"": 0.7845}"
bio,connectome,graded_ln,2,100,5104,263508,23,0.1948,173.8,0.98053,0.94922,0.91379,0.81034,0.92779,0.77802,0.72198,0.86207,0.92074,0.93333,0.39295,0.88558,638,464,0.98782,0.91078,0.82543,0.81034,0.97208,0.69899,0.64583,0.81789,0.89277,0.9573,0.00081,0.82375,1566,1392,"{""pre"": 0.2701, ""0-5s"": 0.5417, ""5-10s"": 0.48, ""10-30s"": 0.6146, ""30-60s"": 0.7431, "">60s"": 0.8813}","{""methane"": 0.8534, ""CO"": 0.7974, ""worst"": 0.7974}"
bio,degree,graded_ln,0,5,255,263508,30,0.2567,20.7,0.96297,0.90286,0.98707,0.49425,0.83883,0.68966,0.67241,0.74066,0.90693,0.90945,0.41425,0.85266,638,464,0.97496,0.83006,0.90086,0.49425,0.93443,0.54239,0.52083,0.69756,0.91734,0.95598,0.02297,0.85568,1566,1392,"{""pre"": 0.1222, ""0-5s"": 0.4583, ""5-10s"": 0.36, ""10-30s"": 0.4792, ""30-60s"": 0.5903, "">60s"": 0.7146}","{""methane"": 0.9224, ""CO"": 0.8793, ""worst"": 0.8793}"
bio,random,standard,0,10,510,263508,16,0.2486,16.6,0.96825,0.91646,0.96983,0.56897,0.85714,0.73276,0.70259,0.7694,0.91001,0.91956,0.31968,0.8605,638,464,0.97679,0.84357,0.89009,0.56897,0.94292,0.56178,0.52802,0.72953,0.91574,0.95715,0.00721,0.85441,1566,1392,"{""pre"": 0.1768, ""0-5s"": 0.625, ""5-10s"": 0.36, ""10-30s"": 0.4792, ""30-60s"": 0.6319, "">60s"": 0.7146}","{""methane"": 0.8951, ""CO"": 0.8851, ""worst"": 0.8851}"
bio,spectrum,standard,0,25,1276,12247627,12,0.7049,14.4,0.81117,0.51485,0.34914,0.83908,0.85263,0.34914,0.34914,0.59411,0.49541,0.84211,0.32418,0.48276,638,464,0.9194,0.51906,0.32759,0.83908,0.94215,0.26796,0.25359,0.58333,0.48614,0.94118,0.31693,0.38442,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0521, ""30-60s"": 0.25, "">60s"": 0.4192}","{""methane"": 0.3118, ""CO"": 0.3434, ""worst"": 0.3118}"
bio,dense,standard,0,50,2552,12247627,9,0.6727,19.3,0.82945,0.60402,0.38362,0.7931,0.83178,0.27802,0.26509,0.58836,0.52507,0.8444,0.45466,0.4953,638,464,0.92316,0.57881,0.36063,0.7931,0.93309,0.20043,0.17529,0.57687,0.52021,0.94213,0.45508,0.40868,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0833, ""30-60s"": 0.2083, "">60s"": 0.3043}","{""methane"": 0.3305, ""CO"": 0.3908, ""worst"": 0.3305}"
generic,connectome,standard,0,100,5104,300871,11,0.1838,79.1,0.96617,0.91485,0.92241,0.68391,0.88613,0.66379,0.6444,0.80316,0.90391,0.92634,0.24503,0.85737,638,464,0.97972,0.86606,0.85417,0.68391,0.95579,0.51796,0.50503,0.76904,0.90212,0.96072,0.01977,0.83525,1566,1392,"{""pre"": 0.0129, ""0-5s"": 0.2083, ""5-10s"": 0.24, ""10-30s"": 0.4167, ""30-60s"": 0.6042, "">60s"": 0.7311}","{""methane"": 0.908, ""CO"": 0.8003, ""worst"": 0.8003}"
generic,degree,standard,1,5,255,300871,11,0.2726,7.2,0.93114,0.84464,0.80603,0.67241,0.86775,0.46121,0.39871,0.73922,0.83575,0.91239,0.10509,0.76959,638,464,0.94484,0.73702,0.66236,0.67241,0.94178,0.15876,0.11566,0.66739,0.77773,0.9457,0.00846,0.66347,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0417, ""5-10s"": 0.0, ""10-30s"": 0.1042, ""30-60s"": 0.1458, "">60s"": 0.2386}","{""methane"": 0.6925, ""CO"": 0.6322, ""worst"": 0.6322}"
generic,random,standard,1,10,510,300871,14,0.2234,14.0,0.94893,0.87909,0.95474,0.63218,0.87377,0.54741,0.52155,0.79346,0.91246,0.92492,0.17193,0.86677,638,464,0.95895,0.78134,0.81178,0.62644,0.94561,0.27371,0.24066,0.71911,0.8736,0.96081,0.03117,0.79119,1566,1392,"{""pre"": 0.0193, ""0-5s"": 0.0417, ""5-10s"": 0.04, ""10-30s"": 0.1354, ""30-60s"": 0.2847, "">60s"": 0.4028}","{""methane"": 0.8434, ""CO"": 0.7802, ""worst"": 0.7802}"
generic,spectrum,standard,1,25,1276,12284990,11,0.5636,13.0,0.92845,0.81215,0.8319,0.53448,0.82655,0.54526,0.5,0.68319,0.82922,0.87512,0.02684,0.75078,638,464,0.95914,0.73496,0.7852,0.53448,0.93101,0.41307,0.37644,0.65984,0.85191,0.94118,0.00566,0.75734,1566,1392,"{""pre"": 0.1029, ""0-5s"": 0.25, ""5-10s"": 0.08, ""10-30s"": 0.1771, ""30-60s"": 0.4514, "">60s"": 0.572}","{""methane"": 0.8075, ""CO"": 0.7629, ""worst"": 0.7629}"
