io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,random,standard,4,5,7,0.3658390790224075,0.8387,0.5399
bio,random,standard,4,5,8,0.3128924593329429,0.9109,0.699
bio,random,standard,4,5,9,0.2645194604992866,0.9123,0.8062
bio,random,standard,4,5,10,0.2472202107310295,0.9543,0.4173
bio,random,standard,4,5,11,0.268493115901947,0.9329,0.4165
bio,random,standard,4,5,12,0.2440151125192642,0.9333,0.5812
bio,random,standard,4,5,13,0.2307474315166473,0.9375,0.5861
bio,random,standard,4,5,14,0.2044046819210052,0.9597,0.3597
bio,random,standard,4,5,15,0.2221626117825508,0.9699,0.3564
bio,random,standard,4,5,16,0.1948608234524727,0.9522,0.5388
bio,random,standard,4,5,17,0.2034258544445037,0.9706,0.3601
bio,random,standard,4,5,18,0.1777146458625793,0.9728,0.3473
bio,random,standard,4,5,19,0.1767569929361343,0.9717,0.3797
bio,random,standard,4,5,20,0.1628023386001587,0.9683,0.3162
bio,random,standard,4,5,21,0.1602638065814972,0.9707,0.4722
bio,random,standard,4,5,22,0.1801140159368515,0.9723,0.3028
bio,random,standard,4,5,23,0.1602819114923477,0.9792,0.3204
bio,random,standard,4,5,24,0.1535334661602974,0.9794,0.3052
bio,random,standard,4,5,25,0.1481219232082367,0.9796,0.2931
bio,random,standard,4,5,26,0.1515634879469871,0.9808,0.3187
bio,random,standard,4,5,27,0.161978468298912,0.973,0.2688
bio,random,standard,4,5,28,0.1633213683962822,0.9818,0.3772
bio,random,standard,4,5,29,0.1490537822246551,0.978,0.2634
bio,random,standard,4,5,30,0.1341573856770992,0.9824,0.3348
bio,spectrum,standard,2,5,1,1.3784902691841123,0.8361,3.6027
bio,spectrum,standard,2,5,2,0.8410286903381348,0.8383,0.8436
bio,spectrum,standard,2,5,3,0.35891292989254,0.8447,0.784
bio,spectrum,standard,2,5,4,0.3577722609043121,0.7594,0.8019
bio,spectrum,standard,2,5,5,0.3611933290958404,0.8295,0.7732
bio,spectrum,standard,2,5,6,0.3560985624790191,0.7828,0.852
