region,arm,seed,N,edges,n_in,n_out,wall_s,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos
CX,degree,1,3499,482490,307,327,144.7,0.98255,0.87651,0.83836,0.68966,0.95577,0.63721,0.60489,0.76401,0.89323,0.95261,0.00203,0.82184,1566,1392,0.965,0.91259,0.9375,0.68966,0.88957,0.67026,0.64871,0.81358,0.91291,0.92966,0.3563,0.86991,638,464
OL,connectome,5,3499,137087,1399,22,34.3,1.0,0.5,1.0,0.0,0.88889,0.0,0.0,0.5,0.94118,1.0,0.52963,0.88889,1566,1392,1.0,0.5,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,1.0,0.52963,0.72727,638,464
AL,degree,1,3499,258882,2385,685,97.9,0.98694,0.90554,0.86566,0.75287,0.96554,0.66739,0.64009,0.80927,0.91288,0.95631,0.00525,0.85313,1566,1392,0.97376,0.93255,0.93534,0.75287,0.90985,0.72198,0.67241,0.84411,0.92242,0.926,0.47747,0.88558,638,464
MB,connectome,5,3499,274271,406,96,120.7,0.98428,0.88794,0.88865,0.67241,0.95595,0.6602,0.63865,0.78053,0.92107,0.95604,0.00096,0.86462,1566,1392,0.96727,0.91513,0.94612,0.67241,0.88508,0.71767,0.69612,0.80927,0.91458,0.91881,0.42829,0.87147,638,464
CX,connectome,3,3499,482490,307,327,120.1,0.98498,0.89379,0.91307,0.64368,0.95349,0.65374,0.62644,0.77838,0.93284,0.96327,0.00417,0.88314,1566,1392,0.96827,0.92027,0.98491,0.64943,0.88224,0.69181,0.66379,0.81717,0.93075,0.93456,0.53231,0.89342,638,464
OL,connectome,1,3499,137087,1399,22,29.1,1.0,0.5,1.0,0.0,0.88889,0.0,0.0,0.5,0.94118,1.0,0.76779,0.88889,1566,1392,1.0,0.5,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,1.0,0.76779,0.72727,638,464
OL,random,5,3499,137087,1399,22,64.5,0.98794,0.91219,0.92529,0.66667,0.95691,0.69468,0.66307,0.79598,0.94083,0.96003,0.01502,0.89655,1566,1392,0.97553,0.93558,0.95905,0.66667,0.88469,0.74138,0.71983,0.81286,0.92037,0.92211,0.61476,0.87931,638,464
AL,connectome,3,3499,258882,2385,685,106.0,0.98951,0.92376,0.80963,0.84483,0.9766,0.68894,0.66739,0.82723,0.88531,0.96198,0.00341,0.81354,1566,1392,0.98104,0.95124,0.88147,0.84483,0.93807,0.75647,0.72845,0.86315,0.90889,0.93414,0.07974,0.87147,638,464
MB,connectome,1,3499,274271,406,96,91.0,0.98125,0.86691,0.89152,0.60345,0.94733,0.63649,0.59842,0.74749,0.91858,0.95169,0.00537,0.85951,1566,1392,0.96448,0.90848,0.96552,0.60345,0.86654,0.70905,0.65517,0.78448,0.91335,0.91515,0.47403,0.86677,638,464
MB,random,5,3499,274271,406,96,115.4,0.98492,0.89018,0.82974,0.72989,0.9609,0.67313,0.65948,0.77981,0.89052,0.95355,0.0028,0.81865,1566,1392,0.97137,0.92468,0.90517,0.72989,0.89936,0.73276,0.71983,0.81753,0.90226,0.91633,0.20433,0.85737,638,464
CX,random,3,3499,482490,307,327,169.7,0.98411,0.887,0.82687,0.70115,0.95677,0.65589,0.62356,0.76401,0.88709,0.9553,7e-05,0.8129,1566,1392,0.96936,0.92147,0.90733,0.70115,0.89006,0.70474,0.68103,0.80424,0.89861,0.92857,0.25163,0.8511,638,464
OL,random,1,3499,137087,1399,22,59.4,0.98407,0.88661,0.84195,0.7069,0.9583,0.65733,0.62069,0.77443,0.89637,0.95304,0.00544,0.82695,1566,1392,0.96951,0.91969,0.91379,0.7069,0.89263,0.7306,0.71121,0.81034,0.90309,0.91881,0.3284,0.85737,638,464
AL,random,1,3499,258882,2385,685,84.1,0.98488,0.89088,0.88362,0.7069,0.96019,0.66595,0.63721,0.79526,0.92031,0.95327,0.00083,0.86398,1566,1392,0.97138,0.92741,0.96121,0.7069,0.89738,0.7069,0.69181,0.83405,0.9282,0.92917,0.50302,0.89185,638,464
MB,degree,5,3499,274271,406,96,166.5,0.98779,0.91273,0.83118,0.76437,0.96578,0.67241,0.65517,0.79777,0.89344,0.96518,0.00478,0.82375,1566,1392,0.97746,0.94112,0.92672,0.76437,0.91295,0.75216,0.73491,0.84555,0.91979,0.93154,0.29001,0.88245,638,464
