bodyId,index,type,instance,pool,is_sensory,is_internal,is_output,outside_input_frac,outside_output_frac,post_in_cx_primary,pre_in_cx_primary,assignment_reason
270771117,192,,,internal,False,True,False,0.0,0.0,97.0,37.0,near_tie_internal_default
270771124,193,,,internal,False,True,False,0.0,0.0,81.0,32.0,near_tie_internal_default
270771132,194,,,internal,False,True,False,0.0,0.0,62.0,30.0,near_tie_internal_default
270771196,195,,,internal,False,True,False,0.0,0.0,18.0,0.0,near_tie_internal_default
270771216,196,,,internal,False,True,False,0.0,0.0,79.0,30.0,near_tie_internal_default
270771225,197,,,internal,False,True,False,0.0,0.0,84.0,33.0,near_tie_internal_default
270771371,198,,,internal,False,True,False,0.0,0.0,119.0,47.0,near_tie_internal_default
270771414,199,,,internal,False,True,False,0.0,0.0,110.0,35.0,near_tie_internal_default
270771429,200,,,internal,False,True,False,0.0,0.0,99.0,36.0,near_tie_internal_default
270771445,201,,,internal,False,True,False,0.0,0.0,95.0,34.0,near_tie_internal_default
270771450,202,,,internal,False,True,False,0.0,0.0,116.0,46.0,near_tie_internal_default
270771478,203,,,internal,False,True,False,0.0,0.0,250.0,58.0,near_tie_internal_default
270771484,204,,,internal,False,True,False,0.0,0.0,95.0,40.0,near_tie_internal_default
270771516,205,,,internal,False,True,False,0.0,0.0,109.0,29.0,near_tie_internal_default
270771558,206,,,internal,False,True,False,0.0,0.0,87.0,39.0,near_tie_internal_default
270771570,207,,,internal,False,True,False,0.0,0.0,12.0,0.0,near_tie_internal_default
270771575,208,,,internal,False,True,False,0.0,0.0,82.0,33.0,near_tie_internal_default
270771587,209,,,internal,False,True,False,0.0,0.0,115.0,34.0,near_tie_internal_default
270771612,210,,,internal,False,True,False,0.0,0.0,76.0,35.0,near_tie_internal_default
270775433,211,,,internal,False,True,False,0.0,0.0,0.0,2.0,near_tie_internal_default
270775449,212,,,internal,False,True,False,0.0,0.0,96.0,24.0,near_tie_internal_default
270775451,213,,,internal,False,True,False,0.0,0.0,120.0,46.0,near_tie_internal_default
270775475,214,,,internal,False,True,False,0.0,0.0,112.0,35.0,near_tie_internal_default
270775554,215,,,internal,False,True,False,0.0,0.0,124.0,44.0,near_tie_internal_default
270775559,216,,,internal,False,True,False,0.0,0.0,103.0,34.0,near_tie_internal_default
270775603,217,,,internal,False,True,False,0.0,0.0,97.0,35.0,near_tie_internal_default
270775629,218,,,internal,False,True,False,0.0,0.0,97.0,42.0,near_tie_internal_default
270775665,219,,,internal,False,True,False,0.0,0.0,111.0,36.0,near_tie_internal_default
270775689,220,,,internal,False,True,False,0.0,0.0,10.0,0.0,near_tie_internal_default
270775735,221,,,internal,False,True,False,0.0,0.0,90.0,27.0,near_tie_internal_default
270775739,222,,,internal,False,True,False,0.007594936708860759,0.0,392.0,42.0,near_tie_internal_default
270775768,223,,,internal,False,True,False,0.0,0.0,106.0,40.0,near_tie_internal_default
270775775,224,,,internal,False,True,False,0.0,0.0,1.0,2.0,near_tie_internal_default
270775812,225,,,internal,False,True,False,0.0,0.0,2.0,2.0,near_tie_internal_default
270775818,226,,,internal,False,True,False,0.0,0.0,112.0,38.0,near_tie_internal_default
270775841,227,,,internal,False,True,False,0.0,0.0,112.0,40.0,near_tie_internal_default
270775868,228,,,internal,False,True,False,0.0,0.0,96.0,33.0,near_tie_internal_default
270775932,229,,,internal,False,True,False,0.0,0.0,104.0,31.0,near_tie_internal_default
270779663,230,,,internal,False,True,False,0.0,0.0,32.0,12.0,near_tie_internal_default
270779684,231,,,internal,False,True,False,0.0,0.0,38.0,17.0,near_tie_internal_default
270779765,232,,,internal,False,True,False,0.0,0.0,156.0,55.0,near_tie_internal_default
270779769,233,,,internal,False,True,False,0.0,0.0,142.0,45.0,near_tie_internal_default
270779779,234,,,internal,False,True,False,0.0,0.0,93.0,41.0,near_tie_internal_default
270779781,235,,,internal,False,True,False,0.02,0.0,98.0,48.0,near_tie_internal_default
270779852,236,,,internal,False,True,False,0.0,0.0,103.0,44.0,near_tie_internal_default
270779898,237,,,internal,False,True,False,0.0064516129032258064,0.037037037037037035,154.0,52.0,near_tie_internal_default
270779899,238,,,internal,False,True,False,0.0,0.0,90.0,38.0,near_tie_internal_default
270779942,239,,,internal,False,True,False,0.0,0.0,122.0,40.0,near_tie_internal_default
270779986,240,,,internal,False,True,False,0.0,0.0,0.0,3.0,near_tie_internal_default
270780066,241,,,internal,False,True,False,0.0,0.0,97.0,35.0,near_tie_internal_default
270780085,242,,,internal,False,True,False,0.0,0.0,84.0,30.0,near_tie_internal_default
270780098,243,,,internal,False,True,False,0.0,0.0,88.0,39.0,near_tie_internal_default
270780149,244,,,internal,False,True,False,0.0,0.0,104.0,40.0,near_tie_internal_default
270780214,245,,,internal,False,True,False,0.0,0.0,111.0,43.0,near_tie_internal_default
270780244,246,,,internal,False,True,False,0.0,0.0,60.0,25.0,near_tie_internal_default
270784208,247,,,internal,False,True,False,0.0,0.0,79.0,37.0,near_tie_internal_default
270784257,248,,,internal,False,True,False,0.0,0.0,92.0,34.0,near_tie_internal_default
270784309,249,,,internal,False,True,False,0.0,0.0,36.0,7.0,near_tie_internal_default
270784334,250,,,internal,False,True,False,0.0,0.0,121.0,41.0,near_tie_internal_default
270784336,251,,,internal,False,True,False,0.0,0.0,34.0,13.0,near_tie_internal_default
270784347,252,,,internal,False,True,False,0.0,0.0,0.0,2.0,near_tie_internal_default
271107653,253,,,internal,False,True,False,0.0,0.0,104.0,35.0,near_tie_internal_default
